origin,destination,airline,flight_num,origin_temp,origin_desc,dest_temp,dest_desc
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
GDL,MEX,4O,2217,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2217,25.1,Partly cloudy,17.3,Partly Cloudy
MEX,GDL,4O,2220,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2220,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2220,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2220,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2220,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2220,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2222,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2224,17.3,Partly Cloudy,25.1,Partly cloudy
GDL,MEX,4O,2225,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2227,25.1,Partly cloudy,17.3,Partly Cloudy
MEX,GDL,4O,2228,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2228,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2228,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2228,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,CJS,4O,2283,17.3,Partly Cloudy,21.5,Sunny
MEX,CJS,4O,2283,17.3,Partly Cloudy,21.5,Sunny
CJS,MEX,4O,2284,21.5,Sunny,17.3,Partly Cloudy
CJS,MEX,4O,2284,21.5,Sunny,17.3,Partly Cloudy
MTY,GDL,4O,230,18.7,Light drizzle,25.1,Partly cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2301,24.5,Overcast,17.3,Partly Cloudy
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2302,17.3,Partly Cloudy,24.5,Overcast
CUN,MEX,4O,2303,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2303,24.5,Overcast,17.3,Partly Cloudy
MEX,CUN,4O,2306,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2306,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2308,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2308,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2308,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2308,17.3,Partly Cloudy,24.5,Overcast
MEX,CUN,4O,2308,17.3,Partly Cloudy,24.5,Overcast
CUN,MEX,4O,2309,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2309,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2309,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,2309,24.5,Overcast,17.3,Partly Cloudy
